번호,사업장명,소재지전체주소,도로명전체주소,도로명우편번호,자연환경,숙소환경,테마,지역코드,상세코드,위도,경도,COL1,COL2
28,젤루느린 달팽이,경상북도 문경시 가은읍 완장리 460번지,경상북도 문경시 가은읍 대야로 1290,36993,mountain,camping,family,16,1607,36.676402,127.95985,,
29,아이뜰관광농원,충청북도 괴산군 장연면 방곡리 607-4번지 아이뜰관광농원,충청북도 괴산군 장연면 충민로 1183,28008,river,glamping,couple,8,801,36.844573,127.9023632,,
30,청도 어울림 글램핑 타운,경상북도 청도군 매전면 관하리 420,경상북도 청도군 매전면 관하실길 28-42,38352,sea,easycamping,kids,16,1619,35.7089549,128.8181107,,
31,학암포나로글램핑캠핑장,충청남도 태안군 원북면 방갈리 515-173,충청남도 태안군 원북면 옥파로 1153,32105,lake,caravan,pet,7,702,36.8979606,126.2048652,,
32,내리계곡 솔바람 캠핑장,강원도 영월군 김삿갓면 내리 386-2번지,강원도 영월군 김삿갓면 내리계곡로 1039-14,26247,mountain,camping,family,4,420,37.0779437,128.7082094,,
33,별곰 캠핑힐,경상남도 하동군 청암면 상이리 1446,경상남도 하동군 청암면 사동길 2,52310,river,glamping,couple,17,1715,35.1810418,127.7547617,,
34,김제 모악산 캠핑파크(일반),전라북도 김제시 금산면 금산리 79-9,전라북도 김제시 금산면 모악로 476-31,54343,sea,easycamping,kids,9,903,35.7160081,127.0440067,,
35,해오름 글램핑,경기도 포천시 소흘읍 이곡리 479-8,경기도 포천시 소흘읍 광릉수목원로874번길 5,11187,lake,caravan,pet,3,302,37.777109,127.1464399,,
36,노을캠핑장,인천광역시 강화군 양도면 건평리 463-11번지,인천광역시 강화군 양도면 해안서로 695,23056,sea,easycamping,kids,2,201,37.6906939,126.3920765,,
37,어망골 캠핑장,충청남도 보령시 천북면 장은리 970,충청남도 보령시 천북면 사호장은로 638,33400,lake,caravan,pet,7,706,36.5055523,126.4905951,,
38,범화권역 글램핑장,충청북도 영동군 학산면 도덕리 806-3,충청북도 영동군 학산면 용화양강로 1380,29167,mountain,camping,family,8,804,36.0845127,127.7238831,,
39,오시유,충청남도 천안시 동남구 광덕면 광덕리 720-12번지,충청남도 천안시 동남구 광덕면 해수길 178-38,31220,river,glamping,couple,7,712,36.6756948,127.0278109,,
